user_id,Attrition
442,0.10192196
1091,0.0102690235
981,0.028868822
785,0.053333912
1332,0.8919926
501,0.08811701
1058,0.3739992
1253,0.03221524
751,0.011861982
122,0.2340895
268,0.01015603
940,0.06273872
1125,0.02938266
540,0.876122
1034,0.014501194
432,0.0021876644
794,0.029059777
666,0.029430484
942,0.02116914
1114,0.08084778
853,0.6344354
1330,0.023449063
692,0.007968012
548,0.007160405
54,0.42200354
319,0.2882098
1147,0.023715401
1235,0.012847615
1436,0.59575486
520,0.012395939
983,0.020592531
1347,0.015434354
465,0.09769188
966,0.0557265
31,0.009744407
420,0.009787577
1462,0.048278306
1408,0.022219071
89,0.088472605
298,0.021144092
875,0.041820087
1385,0.019883145
1430,0.019230573
223,0.043182682
1412,0.0308778
1375,0.511964
4,0.16209231
1174,0.004545214
892,0.86871624
34,0.68247765
1310,0.11436893
182,0.5125904
467,0.07425823
52,0.049808893
1032,0.45140457
142,0.017027192
1440,0.007255105
528,0.027201748
629,0.0058698137
1051,0.25662586
1269,0.01016709
993,0.03643604
526,0.018322002
278,0.01417084
887,0.2748983
1275,0.026408589
667,0.040659405
792,0.01359428
148,0.06825946
1039,0.040872235
1414,0.078791976
474,0.13969254
1341,0.03574092
1158,0.0109015
393,0.00809767
965,0.053840984
1397,0.039026678
743,0.017985621
980,0.12179525
1410,0.005197138
916,0.005057529
1300,0.007963358
642,0.0134756705
1064,0.021062009
1318,0.028371567
1247,0.021073073
187,0.019917363
1023,0.10395882
1183,0.036643457
1073,0.055343825
1311,0.72079057
9,0.010742427
1019,0.032656077
1180,0.38069904
1405,0.011901299
1120,0.012097422
483,0.039264742
310,0.360894
722,0.004587856
5,0.027816756
482,0.062927
204,0.21154985
1086,0.24539886
376,0.018044716
740,0.008060851
299,0.010958156
1218,0.06024043
546,0.40724677
1434,0.07963372
1400,0.024482375
302,0.105697624
1096,0.025840266
360,0.027583228
1131,0.023114935
191,0.054679092
315,0.021685012
211,0.008357888
215,0.01922988
279,0.011947165
1179,0.0030662115
141,0.028265784
1227,0.00838337
641,0.010720193
14,0.671125
82,0.22977799
1301,0.019917922
787,0.0047068535
583,0.02933451
333,0.052888293
610,0.01581842
390,0.009083454
1083,0.27395576
2,0.4597499
554,0.1288975
85,0.06906538
995,0.07138436
107,0.25501543
930,0.026356416
1306,0.026073916
1308,0.021994902
489,0.01830729
361,0.022788621
1090,0.082895234
80,0.06541792
152,0.09371502
1452,0.012929349
1093,0.021078272
231,0.01796892
693,0.027875587
96,0.013044416
224,0.02000966
948,0.052944213
1015,0.018210767
913,0.08870655
445,0.036911804
1,0.018950429
425,0.021321777
159,0.037943203
1210,0.07384405
227,0.018178727
838,0.35511443
1416,0.008593139
161,0.13245837
656,0.73001045
308,0.021947809
253,0.113777824
1084,0.48760998
113,0.0067465324
1292,0.004940207
898,0.0125170825
295,0.02293825
608,0.02317164
175,0.016990582
970,0.100566894
45,0.01298122
487,0.081995055
1358,0.011369511
55,0.08936577
657,0.084154174
1126,0.079538316
254,0.004000884
491,0.009627531
867,0.0044307415
1396,0.7253702
587,0.011792393
863,0.014618006
536,0.14218038
619,0.014439748
192,0.081602536
1411,0.04841536
1460,0.27084798
1273,0.8091049
1425,0.027365051
574,0.005051735
108,0.024461662
651,0.02695255
567,0.009331544
728,0.008415126
842,0.59220487
426,0.038200703
260,0.060722236
580,0.01855477
1021,0.06922414
1173,0.009847893
572,0.0883037
679,0.035497725
1349,0.40741926
233,0.007433588
303,0.049954813
506,0.021120943
364,0.03676815
1100,0.020083277
27,0.007715496
1056,0.018924711
317,0.019122345
471,0.011097345
907,0.008273229
202,0.14514494
1129,0.023770483
1069,0.290154
1263,0.033905692
381,0.17961368
1137,0.7283498
914,0.07979504
634,0.11977399
184,0.01225096
431,0.025628872
1413,0.35638782
1438,0.61581886
1361,0.033733234
326,0.005782102
19,0.15250158
726,0.008542541
330,0.02552625
353,0.008372179
1074,0.11972561
1360,0.19213085
412,0.00447798
1149,0.019190129
649,0.017578712
1279,0.036545224
638,0.026720861
18,0.013082569
500,0.030334173
1099,0.03976596
1075,0.010016048
53,0.031548187
632,0.23468687
874,0.015003864
342,0.030445334
47,0.032354094
459,0.0400683
748,0.13490598
609,0.019351695
989,0.14068393
1038,0.029732548
473,0.011317877
711,0.8940899
717,0.06903584
140,0.45177317
1123,0.071608014
39,0.025390698
1368,0.08531182
1026,0.024380889
322,0.04777101
742,0.19927095
935,0.0089565
479,0.082390256
1236,0.11144332
1079,0.0066047288
461,0.018856224
58,0.007200152
241,0.019012194
1103,0.013874161
783,0.0068125017
1399,0.07844582
56,0.068448015
665,0.13238014
575,0.06105707
505,0.0641865
443,0.111947194
1283,0.039420027
516,0.017355835
29,0.010610665
270,0.052194085
924,0.20515734
1288,0.0021500967
985,0.05684295
1327,0.01816492
1439,0.015084532
481,0.01565189
124,0.4681913
198,0.0066974997
1229,0.032187905
